"Part";"Value";"Device";"Package";"Description";"LABEL";
"C1";"100nF";"C0603";"0603";"Capacitor";"";
"C2";"100nF";"C0603";"0603";"Capacitor";"";
"C3";"10uF";"C0603";"0603";"Capacitor";"";
"C4";"NC";"C0402";"0402";"Capacitor";"";
"C5";"NC";"C0402";"0402";"Capacitor";"";
"H1";"MOUNT-PAD-ROUND2.8";"MOUNT-PAD-ROUND2.8";"2,8-PAD";"MOUNTING PAD, round";"";
"H2";"MOUNT-PAD-ROUND2.8";"MOUNT-PAD-ROUND2.8";"2,8-PAD";"MOUNTING PAD, round";"";
"H3";"MOUNT-PAD-ROUND2.8";"MOUNT-PAD-ROUND2.8";"2,8-PAD";"MOUNTING PAD, round";"";
"H4";"MOUNT-PAD-ROUND2.8";"MOUNT-PAD-ROUND2.8";"2,8-PAD";"MOUNTING PAD, round";"";
"J1";"";"61301411121";"61301411121";"WR-PHD 2.54mm Pin Header, 14 Pins =>Code : Con_BTB_PHD_2.54_1_THT_61301411121";"";
"J2";"";"61300811021";"61300811021";"WR-PHD 2.54mm Angled Pin Header, 8 Pins =>Con_BTB_PHD_2.54_1_THT_61300811021";"";
"J3";"";"61300211121";"61300211121";"WR-PHD 2.54mm Pin Header, 2 Pin=>Code : Con_BTB_PHD_2.54_1_THT_61300211121";"";
"LED1";"";"LED0603";"0603-LED";"LEDs";"";
"LED2";"";"LED0603";"0603-LED";"LEDs";"";
"R1";"0R";"R0402";"0402";"";"";
"R2";"330";"R0603";"0603";"";"";
"R3";"330";"R0603";"0603";"";"";
"U1";"RN2903";"RN2483/RN2903";"RN2483/RN2903";"MicroChip RN2483/RN2903 LoRaWAN Module";"";
"U2";"LD1117AS33";"LD1117AS33";"SOT-223";"LD1117A LDO";"";
"X1";"";"SMACONNECTOR_EDGE_UFL";"SMA_EDGELAUNCH_UFL";"SMA Connector";"";
